,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint George,75,GR,1556927400,76,39.45,22.34,53.6,4.14
1,Rikitea,27,PF,1556931367,73,-23.12,-134.97,77.04,20.04
2,Vaini,100,IN,1556928000,94,15.34,74.49,68.0,5.82
3,Cape Town,0,ZA,1556931066,87,-33.93,18.42,57.99,4.7
4,Provideniya,100,RU,1556931367,97,64.42,-173.23,31.0,2.28
5,Mineiros,97,BR,1556931127,88,-17.57,-52.55,70.76,2.93
6,Bredasdorp,63,ZA,1556928000,81,-34.53,20.04,51.8,5.82
7,Atuona,0,PF,1556931368,77,-9.8,-139.03,83.99,16.51
8,Ngunguru,0,NZ,1556929984,73,-35.62,174.5,66.0,4.0
9,Puerto Baquerizo Moreno,75,EC,1556928000,83,-0.9,-89.6,80.6,10.29
10,Busselton,61,AU,1556931277,64,-33.64,115.35,64.0,26.57
11,Tacuarembo,12,UY,1556931369,94,-31.73,-55.98,64.46,6.91
12,Komsomolskiy,89,RU,1556931369,89,67.55,63.78,30.51,15.1
13,Hambantota,40,LK,1556928600,100,6.12,81.12,77.0,2.24
14,Hilo,90,US,1556931324,65,19.71,-155.08,79.0,13.87
15,Narayangarh,53,IN,1556931369,33,24.28,75.06,82.4,3.27
16,Clyde River,90,CA,1556929320,100,70.47,-68.59,21.2,11.41
17,Kavieng,100,PG,1556931370,83,-2.57,150.8,81.63,17.81
18,Amapa,75,HN,1556931600,70,15.09,-87.97,84.2,5.82
19,Frontera,5,MX,1556926980,52,18.53,-92.64,93.2,13.62
20,Ushuaia,0,AR,1556928000,69,-54.81,-68.31,35.6,9.17
21,San Andres,24,PH,1556931370,71,13.32,122.68,84.62,1.01
22,Tuktoyaktuk,5,CA,1556928000,79,69.44,-133.03,24.8,17.22
23,Lichinga,3,MZ,1556931371,81,-13.3,35.25,67.75,4.94
24,Kaitangata,100,NZ,1556931371,68,-46.28,169.85,59.06,5.79
25,Hobart,75,AU,1556931255,71,-42.88,147.33,60.01,10.29
26,Berlevag,71,NO,1556931371,65,70.86,29.09,29.74,3.2
27,Luderitz,0,NA,1556928000,82,-26.65,15.16,59.0,11.41
28,Henties Bay,0,NA,1556928128,93,-22.12,14.28,55.0,1.99
29,Hermanus,64,ZA,1556930787,70,-34.42,19.24,57.0,1.99
30,Punta Arenas,0,CL,1556931186,76,-53.16,-70.91,32.0,5.82
31,Sept-Iles,75,CA,1556930786,69,50.2,-66.38,39.99,4.7
32,Port Alfred,26,ZA,1556931160,82,-33.59,26.89,62.01,4.0
33,Praia da Vitoria,40,PT,1556930740,88,38.73,-27.07,62.6,8.34
34,Langsa,100,ID,1556931373,89,4.47,97.97,71.84,2.95
35,Hasaki,40,JP,1556931213,68,35.73,140.83,70.0,10.29
36,Grindavik,75,IS,1556930977,86,63.84,-22.43,43.0,9.17
37,Mahebourg,75,MU,1556931241,83,-20.41,57.7,73.4,14.99
38,Thompson,90,CA,1556928000,79,55.74,-97.86,32.0,6.93
39,Esperance,20,TT,1556931306,88,10.24,-61.45,80.01,10.29
40,Yuyao,0,CN,1556931335,55,30.04,121.15,72.0,2.24
41,Touros,20,BR,1556931600,88,-5.2,-35.46,77.0,4.7
42,Husavik,61,CA,1556931374,53,50.56,-96.99,55.99,7.0
43,Sambava,14,MG,1556931374,99,-14.27,50.17,67.45,3.69
44,Tiksi,13,RU,1556931374,81,71.64,128.87,12.85,19.22
45,Kaeo,5,NZ,1556931329,85,-35.1,173.78,72.0,8.08
46,Severo-Kurilsk,91,RU,1556931375,77,50.68,156.12,37.31,13.6
47,Bambanglipuro,3,ID,1556931375,79,-7.95,110.28,80.96,7.61
48,Tarko-Sale,99,RU,1556931330,87,64.92,77.78,37.99,1.01
49,Puerto Ayora,20,EC,1556930747,83,-0.74,-90.35,80.6,13.87
50,Margate,75,AU,1556931255,71,-43.03,147.26,60.01,10.29
51,Zhob,13,PK,1556931375,36,31.34,69.45,60.25,1.7
52,Matara,15,PE,1556931376,80,-13.74,-72.9,39.17,4.9
53,Nipawin,90,CA,1556928660,63,53.36,-104.02,35.6,14.99
54,Ribeira Grande,75,PT,1556928000,88,38.52,-28.7,62.6,6.93
55,Bathsheba,40,BB,1556928000,74,13.22,-59.52,80.6,20.8
56,Samarinda,32,ID,1556931128,79,-0.5,117.14,82.17,1.57
57,Haines Junction,62,CA,1556931376,49,60.75,-137.51,43.56,3.69
58,Atar,53,MR,1556931376,13,20.52,-13.05,82.89,8.28
59,Solginskiy,9,RU,1556931377,77,61.05,41.34,32.49,8.39
60,Mar del Plata,100,AR,1556931220,54,-46.43,-67.52,41.42,13.47
61,Temerin,0,RS,1556931182,100,45.41,19.89,52.0,1.12
62,Chuy,14,UY,1556931140,81,-33.69,-53.46,66.49,5.48
63,Boguchany,42,RU,1556931377,68,58.38,97.46,39.67,4.47
64,College,90,US,1556931320,60,64.86,-147.8,44.01,9.17
65,Hithadhoo,100,MV,1556931378,77,-0.6,73.08,84.44,8.21
66,Barrow,33,AR,1556931378,69,-38.31,-60.23,51.26,5.95
67,Enshi,100,CN,1556931378,72,30.29,109.48,57.58,2.44
68,Oswego,90,US,1556931191,87,37.17,-95.11,60.8,6.4
69,Kapaa,90,US,1556931205,61,22.08,-159.32,82.4,17.22
70,Ishigaki,20,JP,1556928000,57,24.34,124.16,77.0,16.11
71,Yellowknife,20,CA,1556931360,54,62.45,-114.38,32.0,8.05
72,Keti Bandar,0,PK,1556931379,79,24.14,67.45,81.34,12.41
73,Kasempa,0,ZM,1556931379,79,-13.46,25.83,60.68,4.43
74,Hervey Bay,90,AU,1556930708,83,-25.3,152.85,75.0,5.82
75,Corinto,100,BR,1556931379,85,-18.36,-44.46,72.36,3.04
76,Owerri,75,NG,1556928000,94,5.49,7.03,75.2,3.36
77,Waipawa,4,NZ,1556931137,63,-39.94,176.59,64.99,3.0
78,Sorland,100,NO,1556931380,70,67.67,12.69,37.62,20.36
79,Lysyye Gory,0,RU,1556931380,89,51.55,44.84,47.93,7.92
80,Dingle,60,PH,1556931381,62,11.0,122.67,85.32,3.91
81,Pevek,0,RU,1556931381,80,69.7,170.27,30.08,1.28
82,Laguna,75,MX,1556927220,11,27.52,-110.01,89.6,11.41
83,Jamestown,4,AU,1556931381,78,-33.21,138.6,57.04,5.77
84,Kodiak,1,US,1556931290,22,39.95,-94.76,59.0,6.93
85,New Norfolk,75,AU,1556931375,71,-42.78,147.06,60.01,10.29
86,Pisco,0,PE,1556930798,77,-13.71,-76.2,69.8,6.93
87,Mlimba,94,TZ,1556931382,96,-8.78,35.81,66.08,1.97
88,Mataura,100,NZ,1556931006,58,-46.19,168.86,66.0,14.0
89,Lompoc,1,US,1556931329,46,34.64,-120.46,71.6,13.87
90,Itoman,75,JP,1556931186,44,26.12,127.67,75.2,11.41
91,Tamiahua,56,MX,1556931383,91,21.28,-97.45,78.28,10.76
92,Maniitsoq,2,GL,1556931289,42,65.42,-52.9,47.5,9.8
93,Yar-Sale,99,RU,1556931383,98,66.83,70.83,29.12,8.43
94,Nelson Bay,90,AU,1556931046,77,-32.72,152.14,64.99,6.93
95,Nizhniy Kuranakh,97,RU,1556931383,63,58.84,125.49,33.62,9.95
96,Kalmunai,100,LK,1556931384,87,7.42,81.82,76.9,2.91
97,Takoradi,100,GH,1556931384,91,4.89,-1.75,77.92,3.62
98,Algiers,75,US,1556931372,74,29.94,-90.04,80.01,8.05
99,Port Elizabeth,90,US,1556931368,100,39.31,-74.98,66.2,4.7
100,Katsuura,20,JP,1556929704,63,33.93,134.5,69.8,11.41
101,Fortuna,0,ES,1556931372,76,38.18,-1.13,57.99,8.05
102,Ostrovnoy,100,RU,1556931385,97,68.05,39.51,28.89,13.76
103,Yar,100,RU,1556931385,96,58.24,52.11,50.62,8.03
104,Norsup,20,VU,1556928000,65,-16.07,167.38,82.4,12.75
105,Nampula,75,MZ,1556928000,100,-15.12,39.26,69.8,2.28
106,Vyshkov,90,RU,1556928000,93,52.48,31.69,48.2,2.24
107,Alice Springs,0,AU,1556928000,42,-23.7,133.88,62.6,11.41
108,Yarmouth,60,GB,1556931364,75,50.71,-1.5,46.99,9.17
109,Katangli,88,RU,1556931386,73,51.71,143.23,43.47,1.86
110,Bilma,1,NE,1556931386,9,18.69,12.92,82.13,3.42
111,East London,99,ZA,1556931386,72,-33.02,27.91,59.47,9.91
112,Xam Nua,91,LA,1556931385,96,20.42,104.04,69.25,2.21
113,Saint-Philippe,90,CA,1556931334,100,45.36,-73.48,50.0,5.82
114,Condado,40,BR,1556931600,69,-7.59,-35.1,82.4,11.41
115,Purpe,92,RU,1556931330,87,64.48,76.69,37.99,1.01
116,Havoysund,97,NO,1556929200,92,71.0,24.66,24.8,10.4
117,Broken Hill,75,AU,1556928000,76,-31.97,141.45,57.2,18.34
118,Matamoros,1,US,1556931321,65,25.87,-97.51,82.4,10.29
119,Gambela,70,ET,1556931387,47,8.25,34.59,76.25,4.59
120,Erdenet,3,MN,1556931388,53,49.03,104.04,29.41,7.07
121,Vila Franca do Campo,75,PT,1556929800,93,37.72,-25.43,62.6,13.87
122,Caravelas,42,BR,1556931388,85,-17.73,-39.27,78.19,5.1
123,Hailar,100,CN,1556931388,35,49.2,119.7,47.68,21.45
124,Marquette,20,US,1556931012,45,46.54,-87.4,46.4,8.05
125,Barcelona,20,ES,1556931103,93,41.38,2.18,55.0,8.05
126,Saskylakh,12,RU,1556931389,93,71.97,114.09,8.57,5.95
127,La Ronge,75,CA,1556928000,48,55.1,-105.3,39.2,8.05
128,Saposoa,40,PE,1556928000,290,-6.93,-76.77,62.6,6.93
129,Panama City,1,US,1556931039,78,30.16,-85.65,79.0,6.93
130,Tasiilaq,62,GL,1556931389,86,65.61,-37.64,22.12,3.2
131,Najran,0,SA,1556928000,26,17.54,44.22,80.6,4.7
132,Saint-Joseph,0,FR,1556931036,93,43.56,6.97,55.99,3.36
133,Shahr-e Babak,0,IR,1556931390,19,30.12,55.12,67.81,7.18
134,Bobrovka,0,RU,1556931390,92,52.3,45.54,46.12,7.87
135,Stettler,100,CA,1556930706,72,52.32,-112.71,37.0,15.99
136,Qaanaaq,99,GL,1556931390,87,77.48,-69.36,24.62,3.22
137,Dikson,11,RU,1556931391,93,73.51,80.55,6.97,5.77
138,Albany,90,US,1556931304,87,42.65,-73.75,57.2,8.05
139,Brejo da Madre de Deus,0,BR,1556931391,96,-8.14,-36.37,66.19,7.11
140,Barabai,53,ID,1556931391,80,-2.59,115.38,80.57,0.94
141,Eureka,1,US,1556931332,71,40.8,-124.16,62.01,14.99
142,Saldanha,16,PT,1556931392,62,41.42,-6.55,51.88,7.07
143,Gorahun,100,LR,1556931392,95,8.17,-10.34,75.08,2.55
144,Pedernales,23,EC,1556931392,83,0.07,-80.05,80.03,12.08
145,Boundiali,92,CI,1556931392,75,9.53,-6.48,80.39,6.06
146,Lac-Megantic,90,CA,1556931303,100,45.58,-70.88,48.2,2.24
147,Arraial do Cabo,81,BR,1556931174,86,-22.97,-42.02,78.35,14.12
148,Longyearbyen,40,NO,1556931000,72,78.22,15.63,15.8,23.04
149,San Vicente,20,SV,1556931000,79,13.64,-88.78,84.2,6.93
150,Ouesso,100,CG,1556931394,89,1.61,16.05,75.49,1.19
151,Nikolskoye,75,RU,1556931338,59,59.7,30.79,37.0,8.95
152,Pak Phanang,20,TH,1556928000,88,8.35,100.2,80.6,2.24
153,Muros,0,ES,1556931390,87,42.77,-9.06,57.0,5.82
154,Ilulissat,55,GL,1556927400,39,69.22,-51.1,48.2,21.92
155,Laje,1,BR,1556931395,98,-13.18,-39.42,70.16,4.09
156,Novyy Urengoy,95,RU,1556931395,97,66.08,76.63,30.01,5.86
157,Hofn,0,IS,1556931395,53,64.25,-15.21,22.95,7.49
158,Zunyi,28,CN,1556931395,77,27.73,106.92,58.09,3.65
159,Barra,76,BR,1556931395,64,-11.09,-43.14,76.73,0.47
160,Faanui,84,PF,1556931395,72,-16.48,-151.75,82.13,14.27
161,Kungurtug,1,RU,1556931396,57,50.6,97.53,31.0,0.76
162,Boyolangu,12,ID,1556931396,86,-8.09,111.9,74.74,4.03
163,Butaritari,100,KI,1556931396,77,3.07,172.79,83.25,13.56
164,Cabo San Lucas,75,MX,1556931024,41,22.89,-109.91,84.0,14.23
165,Bereda,3,ES,1556931238,87,43.27,-7.54,50.0,3.36
166,Vestmanna,77,FO,1556931000,69,62.16,-7.17,35.6,19.46
167,Aykhal,90,RU,1556928000,68,65.95,111.51,28.4,8.95
168,Bluff,100,AU,1556931397,76,-23.58,149.07,71.05,5.37
169,Chokurdakh,99,RU,1556931397,91,70.62,147.9,28.78,6.89
170,Price,1,US,1556931267,18,39.6,-110.81,62.6,12.75
171,Doha,0,QA,1556928000,54,25.29,51.53,82.4,3.36
172,Haukipudas,100,FI,1556930797,68,65.17,25.5,30.2,9.17
173,Pinhao,100,BR,1556931398,95,-25.7,-51.66,64.21,2.06
174,Bozoum,100,CF,1556931398,86,6.31,16.38,72.32,3.33
175,Zhuanghe,100,CN,1556931398,34,39.7,122.97,67.37,4.52
176,Havre,90,US,1556930790,39,48.55,-109.68,62.6,9.17
177,Cayenne,89,GF,1556928000,78,4.94,-52.33,82.4,10.29
178,Anori,80,BR,1556931399,97,-3.74,-61.66,75.37,1.5
179,Sao Filipe,4,CV,1556931399,79,14.9,-24.5,72.31,15.61
180,Victoria,75,BN,1556928000,88,5.28,115.24,82.4,2.24
181,Preobrazheniye,0,RU,1556931400,26,42.9,133.91,65.81,4.05
182,Tuatapere,99,NZ,1556931006,58,-46.13,167.69,66.0,14.0
183,Linxia,62,CN,1556931400,58,35.6,103.21,53.59,3.98
184,Soyaux,60,FR,1556931332,93,45.64,0.19,45.0,1.12
185,Georgetown,40,GY,1556928000,78,6.8,-58.16,80.6,11.41
186,Wajir,23,KE,1556931401,73,1.75,40.07,79.18,14.36
187,Garoua Boulai,100,CM,1556931401,94,5.88,14.55,69.52,1.97
188,Willowmore,74,ZA,1556931401,84,-33.3,23.49,50.83,6.67
189,Ca Mau,56,VN,1556931401,69,9.18,105.15,86.13,3.53
190,Beringovskiy,59,RU,1556931402,61,63.05,179.32,34.94,7.54
191,Charyshskoye,0,RU,1556931402,63,51.4,83.56,34.83,3.53
192,Omboue,100,GA,1556931402,85,-1.57,9.26,81.99,9.42
193,Nouakchott,0,MR,1556929800,82,18.08,-15.98,66.2,10.29
194,Kapit,74,MY,1556931402,84,2.02,112.94,79.63,1.03
195,Kavaratti,96,IN,1556931403,61,10.57,72.64,85.21,9.35
196,Nuevo Progreso,1,US,1556931402,65,26.05,-97.95,84.2,10.29
197,Talnakh,0,RU,1556928000,71,69.49,88.39,8.6,4.47
198,Brawley,20,US,1556927760,8,32.98,-115.53,93.2,5.82
199,Dezhou,100,CN,1556931403,31,37.45,116.31,69.46,13.76
200,Jumla,0,NP,1556931403,47,29.28,82.18,36.54,5.7
201,Kirsanov,0,RU,1556931404,86,52.65,42.73,47.03,7.34
202,Tura,92,IN,1556931404,81,25.52,90.21,76.0,10.22
203,San Cristobal,75,EC,1556930731,52,-0.39,-78.55,64.4,14.99
204,Avarua,100,CK,1556929800,74,-21.21,-159.78,82.4,17.22
205,Soresina,75,IT,1556931367,93,45.29,9.86,55.4,2.24
206,Vila Velha,20,BR,1556931600,83,-3.71,-38.6,80.6,4.7
207,Unai,100,BR,1556931405,86,-16.36,-46.91,70.99,2.21
208,Russell,0,AR,1556928000,68,-33.01,-68.8,66.2,3.36
209,Itarema,52,BR,1556931405,85,-2.92,-39.92,78.64,7.29
210,Kendari,87,ID,1556931406,83,-3.99,122.52,79.87,2.39
211,Chufarovo,56,RU,1556931406,91,54.09,47.33,45.67,6.8
212,Atambua,77,ID,1556931406,71,-9.11,124.89,82.89,6.53
213,Koumac,0,NC,1556931406,59,-20.56,164.28,78.17,9.89
214,Khatanga,54,RU,1556931406,91,71.98,102.47,15.34,3.78
215,Norman Wells,20,CA,1556928000,53,65.28,-126.83,24.8,6.93
216,Paciran,16,ID,1556931406,84,-6.9,112.33,77.15,4.92
217,Ahipara,0,NZ,1556931329,85,-35.17,173.16,72.0,8.3
218,Faya,40,SA,1556928000,35,18.39,42.45,69.8,4.7
219,Leningradskiy,14,RU,1556931407,82,69.38,178.42,30.51,8.48
220,Wanaka,100,NZ,1556931407,74,-44.7,169.14,53.1,9.15
221,Basco,90,US,1556931316,76,40.33,-91.2,55.0,3.36
222,Kudahuvadhoo,100,MV,1556931408,77,2.67,72.89,84.44,11.48
223,Lebu,20,ET,1556928000,41,8.96,38.73,60.8,2.24
224,Gorontalo,12,ID,1556931135,66,0.54,123.06,84.46,1.63
225,Narsaq,100,GL,1556931408,48,60.91,-46.05,47.0,6.69
226,Estelle,5,US,1556931394,64,32.87,-97.01,73.99,9.17
227,Aripuana,99,BR,1556931383,97,-9.17,-60.63,74.75,0.72
228,Nhulunbuy,40,AU,1556928000,70,-12.18,136.78,84.2,16.11
229,Tynda,71,RU,1556931409,41,55.15,124.74,33.37,10.58
230,Shache,1,CN,1556931409,19,38.42,77.24,59.11,1.79
231,Bosanska Krupa,82,BA,1556931409,92,44.88,16.15,49.73,3.76
232,Moose Factory,90,CA,1556928000,55,51.26,-80.61,37.4,6.93
233,Kang,0,BW,1556931409,24,-23.67,22.79,63.85,5.95
234,Mount Gambier,90,AU,1556928000,71,-37.83,140.78,53.6,11.41
235,Kieta,90,PG,1556931410,60,-6.22,155.63,88.0,3.04
236,Castro,90,CL,1556928000,100,-42.48,-73.76,51.8,4.7
237,Luanda,75,AO,1556928000,83,-8.83,13.24,78.8,9.17
238,Alfenas,92,BR,1556931115,93,-21.43,-45.95,66.31,0.87
239,Chandla,5,IN,1556931411,47,25.06,80.17,87.68,4.74
240,Silifke,0,TR,1556931411,41,36.38,33.93,56.18,7.56
241,Hays,1,US,1556930792,59,38.88,-99.33,64.99,6.93
242,Airai,78,TL,1556931411,67,-8.93,125.41,81.27,3.13
243,Kununurra,58,AU,1556928000,55,-15.77,128.74,87.8,10.29
244,Talaya,0,RU,1556931323,48,55.79,84.89,42.01,4.47
245,Poya,0,NC,1556931412,58,-21.35,165.16,77.65,11.05
246,Acapulco,40,MX,1556927100,83,16.86,-99.88,80.6,8.05
247,Cidreira,97,BR,1556931412,90,-30.17,-50.22,72.95,4.94
248,Cukai,75,MY,1556928000,94,4.25,103.42,80.6,1.41
249,Xining,89,CN,1556931412,68,36.62,101.77,45.92,4.38
250,Miyako,0,JP,1556931325,33,33.63,130.94,79.0,6.93
251,Valleyview,100,CA,1556931413,45,55.07,-117.28,34.11,4.72
252,San Francisco,1,US,1556931199,82,37.78,-122.42,73.4,12.75
253,Dromolaxia,0,CY,1556930792,77,34.88,33.59,60.8,2.24
254,Necochea,17,AR,1556930204,78,-38.55,-58.74,55.99,1.01
255,Pangai,75,TO,1556928000,65,-19.8,-174.35,78.8,18.34
256,Methoni,20,GR,1556931348,87,36.82,21.7,60.01,3.09
257,Tupelo,1,US,1556931179,100,34.26,-88.7,75.2,1.74
258,Karratha,5,AU,1556931414,24,-20.74,116.85,80.87,11.23
259,Midland,24,US,1556930100,56,32.0,-102.08,75.2,12.75
260,Mendoza,0,AR,1556928000,68,-32.89,-68.84,66.2,3.36
261,Balkanabat,87,TM,1556931414,32,39.51,54.36,78.01,9.06
262,Port Hardy,40,CA,1556928000,62,50.7,-127.42,55.4,17.22
263,Sisimiut,7,GL,1556931220,71,66.94,-53.67,38.9,13.11
264,Chumikan,100,RU,1556931415,91,54.72,135.31,35.19,6.76
265,Anahuac,75,US,1556931230,83,29.77,-94.68,78.01,9.17
266,Baykit,99,RU,1556931415,89,61.68,96.39,34.45,9.86
267,Chandia,71,IN,1556931308,49,23.65,80.7,82.6,9.01
268,Vardo,75,US,1556931289,93,39.62,-77.74,70.0,9.17
269,Jutai,46,BR,1556931415,99,-1.71,-47.89,74.77,2.66
270,Urengoy,94,RU,1556931415,98,65.96,78.37,33.75,4.7
271,Jijiang,0,CN,1556929839,42,29.8,120.61,69.01,2.24
272,Soe,20,EE,1556931369,95,57.91,26.05,32.0,8.05
273,Leninskoye,21,RU,1556929800,64,54.82,82.85,37.4,2.24
274,Tomohon,20,ID,1556929800,59,1.33,124.84,91.4,1.12
275,Soma,20,JP,1556930835,44,37.8,140.92,70.0,4.7
276,Okakarara,0,NA,1556931416,25,-20.59,17.46,58.99,6.15
277,Ampanihy,0,MG,1556931417,58,-24.69,44.75,72.04,5.93
278,Kruisfontein,55,ZA,1556931417,86,-34.0,24.73,54.4,8.37
279,Brae,81,GB,1556929200,86,60.4,-1.35,39.2,18.34
280,Ponta do Sol,100,BR,1556931417,93,-20.63,-46.0,66.89,2.44
281,Nichinan,0,JP,1556930923,56,31.65,131.31,71.01,4.7
